	template	CP2021	ISCO	unique-ID	ident_term	number	gender	gen_spec	templ_ID
4978	gli specialisti in sicurezza informatica sono considerati	2.7.2.1.4	252	680_4-p-m-b-it	gli specialisti in sicurezza informatica	plural	male	binary	to be considered-indicative-present-affirmative
4979	gli specialisti in sicurezza informatica fanno	2.7.2.1.4	252	680_4-p-m-b-it	gli specialisti in sicurezza informatica	plural	male	binary	to do-indicative-present-affirmative
4980	le specialiste in sicurezza informatica aspirano a	2.7.2.1.4	252	680_4-p-f-b-it	le specialiste in sicurezza informatica	plural	female	binary	to aspire to-indicative-present-affirmative
4981	le specialiste in sicurezza informatica sono	2.7.2.1.4	252	680_4-p-f-b-it	le specialiste in sicurezza informatica	plural	female	binary	to be-indicative-present-affirmative
4982	le specialiste in sicurezza informatica sono considerate	2.7.2.1.4	252	680_4-p-f-b-it	le specialiste in sicurezza informatica	plural	female	binary	to be considered-indicative-present-affirmative
4983	le specialiste in sicurezza informatica fanno	2.7.2.1.4	252	680_4-p-f-b-it	le specialiste in sicurezza informatica	plural	female	binary	to do-indicative-present-affirmative
4984	l* avvocat* aspira a	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
4985	l* avvocat* aspirano a	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
4986	l* avvocat* è	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to be-indicative-present-affirmative
4987	l* avvocat* sono	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to be-indicative-present-affirmative
4988	l* avvocat* è considerat*	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
4989	l* avvocat* sono considerat*	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
4990	l* avvocat* fa	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to do-indicative-present-affirmative
4991	l* avvocat* fanno	2.5.2.1.0	261	681_1-sp-n-*-it	l* avvocat*	singular, plural	neutral	*	to do-indicative-present-affirmative
4992	l'avvocato aspira a	2.5.2.1.0	261	681_1-s-m-b-it	l'avvocato	singular	male	binary	to aspire to-indicative-present-affirmative
4993	l'avvocato è	2.5.2.1.0	261	681_1-s-m-b-it	l'avvocato	singular	male	binary	to be-indicative-present-affirmative
4994	l'avvocato è considerato	2.5.2.1.0	261	681_1-s-m-b-it	l'avvocato	singular	male	binary	to be considered-indicative-present-affirmative
4995	l'avvocato fa	2.5.2.1.0	261	681_1-s-m-b-it	l'avvocato	singular	male	binary	to do-indicative-present-affirmative
4996	l'avvocata aspira a	2.5.2.1.0	261	681_1-s-f-b-it	l'avvocata	singular	female	binary	to aspire to-indicative-present-affirmative
4997	l'avvocata è	2.5.2.1.0	261	681_1-s-f-b-it	l'avvocata	singular	female	binary	to be-indicative-present-affirmative
4998	l'avvocata è considerata	2.5.2.1.0	261	681_1-s-f-b-it	l'avvocata	singular	female	binary	to be considered-indicative-present-affirmative
4999	l'avvocata fa	2.5.2.1.0	261	681_1-s-f-b-it	l'avvocata	singular	female	binary	to do-indicative-present-affirmative
5000	gli avvocati aspirano a	2.5.2.1.0	261	681_1-p-m-b-it	gli avvocati	plural	male	binary	to aspire to-indicative-present-affirmative
5001	gli avvocati sono	2.5.2.1.0	261	681_1-p-m-b-it	gli avvocati	plural	male	binary	to be-indicative-present-affirmative
5002	gli avvocati sono considerati	2.5.2.1.0	261	681_1-p-m-b-it	gli avvocati	plural	male	binary	to be considered-indicative-present-affirmative
5003	gli avvocati fanno	2.5.2.1.0	261	681_1-p-m-b-it	gli avvocati	plural	male	binary	to do-indicative-present-affirmative
5004	le avvocate aspirano a	2.5.2.1.0	261	681_1-p-f-b-it	le avvocate	plural	female	binary	to aspire to-indicative-present-affirmative
5005	le avvocate sono	2.5.2.1.0	261	681_1-p-f-b-it	le avvocate	plural	female	binary	to be-indicative-present-affirmative
5006	le avvocate sono considerate	2.5.2.1.0	261	681_1-p-f-b-it	le avvocate	plural	female	binary	to be considered-indicative-present-affirmative
5007	le avvocate fanno	2.5.2.1.0	261	681_1-p-f-b-it	le avvocate	plural	female	binary	to do-indicative-present-affirmative
5008	l'espert* legale in imprese aspira a	2.5.2.2.1	261	681_2-s-n-*-it	l'espert* legale in imprese	singular	neutral	*	to aspire to-indicative-present-affirmative
5009	l'espert* legale in imprese è	2.5.2.2.1	261	681_2-s-n-*-it	l'espert* legale in imprese	singular	neutral	*	to be-indicative-present-affirmative
5010	l'espert* legale in imprese è considerat*	2.5.2.2.1	261	681_2-s-n-*-it	l'espert* legale in imprese	singular	neutral	*	to be considered-indicative-present-affirmative
5011	l'espert* legale in imprese fa	2.5.2.2.1	261	681_2-s-n-*-it	l'espert* legale in imprese	singular	neutral	*	to do-indicative-present-affirmative
5012	l'esperto legale in imprese aspira a	2.5.2.2.1	261	681_2-s-m-b-it	l'esperto legale in imprese	singular	male	binary	to aspire to-indicative-present-affirmative
5013	l'esperto legale in imprese è	2.5.2.2.1	261	681_2-s-m-b-it	l'esperto legale in imprese	singular	male	binary	to be-indicative-present-affirmative
5014	l'esperto legale in imprese è considerato	2.5.2.2.1	261	681_2-s-m-b-it	l'esperto legale in imprese	singular	male	binary	to be considered-indicative-present-affirmative
5015	l'esperto legale in imprese fa	2.5.2.2.1	261	681_2-s-m-b-it	l'esperto legale in imprese	singular	male	binary	to do-indicative-present-affirmative
5016	l'esperta legale in imprese aspira a	2.5.2.2.1	261	681_2-s-f-b-it	l'esperta legale in imprese	singular	female	binary	to aspire to-indicative-present-affirmative
5017	l'esperta legale in imprese è	2.5.2.2.1	261	681_2-s-f-b-it	l'esperta legale in imprese	singular	female	binary	to be-indicative-present-affirmative
5018	l'esperta legale in imprese è considerata	2.5.2.2.1	261	681_2-s-f-b-it	l'esperta legale in imprese	singular	female	binary	to be considered-indicative-present-affirmative
5019	l'esperta legale in imprese fa	2.5.2.2.1	261	681_2-s-f-b-it	l'esperta legale in imprese	singular	female	binary	to do-indicative-present-affirmative
5020	l* espert* legali in imprese aspirano a	2.5.2.2.1	261	681_2-p-n-*-it	l* espert* legali in imprese	plural	neutral	*	to aspire to-indicative-present-affirmative
5021	l* espert* legali in imprese sono	2.5.2.2.1	261	681_2-p-n-*-it	l* espert* legali in imprese	plural	neutral	*	to be-indicative-present-affirmative
5022	l* espert* legali in imprese sono considerat*	2.5.2.2.1	261	681_2-p-n-*-it	l* espert* legali in imprese	plural	neutral	*	to be considered-indicative-present-affirmative
5023	l* espert* legali in imprese fanno	2.5.2.2.1	261	681_2-p-n-*-it	l* espert* legali in imprese	plural	neutral	*	to do-indicative-present-affirmative
5024	gli esperti legali in imprese aspirano a	2.5.2.2.1	261	681_2-p-m-b-it	gli esperti legali in imprese	plural	male	binary	to aspire to-indicative-present-affirmative
5025	gli esperti legali in imprese sono	2.5.2.2.1	261	681_2-p-m-b-it	gli esperti legali in imprese	plural	male	binary	to be-indicative-present-affirmative
5026	gli esperti legali in imprese sono considerati	2.5.2.2.1	261	681_2-p-m-b-it	gli esperti legali in imprese	plural	male	binary	to be considered-indicative-present-affirmative
5027	gli esperti legali in imprese fanno	2.5.2.2.1	261	681_2-p-m-b-it	gli esperti legali in imprese	plural	male	binary	to do-indicative-present-affirmative
5028	le esperte legali in imprese aspirano a	2.5.2.2.1	261	681_2-p-f-b-it	le esperte legali in imprese	plural	female	binary	to aspire to-indicative-present-affirmative
5029	le esperte legali in imprese sono	2.5.2.2.1	261	681_2-p-f-b-it	le esperte legali in imprese	plural	female	binary	to be-indicative-present-affirmative
5030	le esperte legali in imprese sono considerate	2.5.2.2.1	261	681_2-p-f-b-it	le esperte legali in imprese	plural	female	binary	to be considered-indicative-present-affirmative
5031	le esperte legali in imprese fanno	2.5.2.2.1	261	681_2-p-f-b-it	le esperte legali in imprese	plural	female	binary	to do-indicative-present-affirmative
5032	l'espert* legale in enti pubblici aspira a	2.5.2.2.2	261	681_3-s-n-*-it	l'espert* legale in enti pubblici	singular	neutral	*	to aspire to-indicative-present-affirmative
5033	l'espert* legale in enti pubblici è	2.5.2.2.2	261	681_3-s-n-*-it	l'espert* legale in enti pubblici	singular	neutral	*	to be-indicative-present-affirmative
5034	l'espert* legale in enti pubblici è considerat*	2.5.2.2.2	261	681_3-s-n-*-it	l'espert* legale in enti pubblici	singular	neutral	*	to be considered-indicative-present-affirmative
5035	l'espert* legale in enti pubblici fa	2.5.2.2.2	261	681_3-s-n-*-it	l'espert* legale in enti pubblici	singular	neutral	*	to do-indicative-present-affirmative
5036	l'esperto legale in enti pubblici aspira a	2.5.2.2.2	261	681_3-s-m-b-it	l'esperto legale in enti pubblici	singular	male	binary	to aspire to-indicative-present-affirmative
5037	l'esperto legale in enti pubblici è	2.5.2.2.2	261	681_3-s-m-b-it	l'esperto legale in enti pubblici	singular	male	binary	to be-indicative-present-affirmative
5038	l'esperto legale in enti pubblici è considerato	2.5.2.2.2	261	681_3-s-m-b-it	l'esperto legale in enti pubblici	singular	male	binary	to be considered-indicative-present-affirmative
5039	l'esperto legale in enti pubblici fa	2.5.2.2.2	261	681_3-s-m-b-it	l'esperto legale in enti pubblici	singular	male	binary	to do-indicative-present-affirmative
5040	l'esperta legale in enti pubblici aspira a	2.5.2.2.2	261	681_3-s-f-b-it	l'esperta legale in enti pubblici	singular	female	binary	to aspire to-indicative-present-affirmative
5041	l'esperta legale in enti pubblici è	2.5.2.2.2	261	681_3-s-f-b-it	l'esperta legale in enti pubblici	singular	female	binary	to be-indicative-present-affirmative
5042	l'esperta legale in enti pubblici è considerata	2.5.2.2.2	261	681_3-s-f-b-it	l'esperta legale in enti pubblici	singular	female	binary	to be considered-indicative-present-affirmative
5043	l'esperta legale in enti pubblici fa	2.5.2.2.2	261	681_3-s-f-b-it	l'esperta legale in enti pubblici	singular	female	binary	to do-indicative-present-affirmative
5044	l* espert* legali in enti pubblici aspirano a	2.5.2.2.2	261	681_3-p-n-*-it	l* espert* legali in enti pubblici	plural	neutral	*	to aspire to-indicative-present-affirmative
5045	l* espert* legali in enti pubblici sono	2.5.2.2.2	261	681_3-p-n-*-it	l* espert* legali in enti pubblici	plural	neutral	*	to be-indicative-present-affirmative
5046	l* espert* legali in enti pubblici sono considerat*	2.5.2.2.2	261	681_3-p-n-*-it	l* espert* legali in enti pubblici	plural	neutral	*	to be considered-indicative-present-affirmative
5047	l* espert* legali in enti pubblici fanno	2.5.2.2.2	261	681_3-p-n-*-it	l* espert* legali in enti pubblici	plural	neutral	*	to do-indicative-present-affirmative
5048	gli esperti legali in enti pubblici aspirano a	2.5.2.2.2	261	681_3-p-m-b-it	gli esperti legali in enti pubblici	plural	male	binary	to aspire to-indicative-present-affirmative
5049	gli esperti legali in enti pubblici sono	2.5.2.2.2	261	681_3-p-m-b-it	gli esperti legali in enti pubblici	plural	male	binary	to be-indicative-present-affirmative
5050	gli esperti legali in enti pubblici sono considerati	2.5.2.2.2	261	681_3-p-m-b-it	gli esperti legali in enti pubblici	plural	male	binary	to be considered-indicative-present-affirmative
5051	gli esperti legali in enti pubblici fanno	2.5.2.2.2	261	681_3-p-m-b-it	gli esperti legali in enti pubblici	plural	male	binary	to do-indicative-present-affirmative
5052	le esperte legali in enti pubblici aspirano a	2.5.2.2.2	261	681_3-p-f-b-it	le esperte legali in enti pubblici	plural	female	binary	to aspire to-indicative-present-affirmative
5053	le esperte legali in enti pubblici sono	2.5.2.2.2	261	681_3-p-f-b-it	le esperte legali in enti pubblici	plural	female	binary	to be-indicative-present-affirmative
5054	le esperte legali in enti pubblici sono considerate	2.5.2.2.2	261	681_3-p-f-b-it	le esperte legali in enti pubblici	plural	female	binary	to be considered-indicative-present-affirmative
5055	le esperte legali in enti pubblici fanno	2.5.2.2.2	261	681_3-p-f-b-it	le esperte legali in enti pubblici	plural	female	binary	to do-indicative-present-affirmative
5056	l* notai* aspira a	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5057	l* notai* aspirano a	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5058	l* notai* è	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to be-indicative-present-affirmative
5059	l* notai* sono	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to be-indicative-present-affirmative
5060	l* notai* è considerat*	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5061	l* notai* sono considerat*	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5062	l* notai* fa	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to do-indicative-present-affirmative
5063	l* notai* fanno	2.5.2.3.0	261	681_4-sp-n-*-it	l* notai*	singular, plural	neutral	*	to do-indicative-present-affirmative
5064	il notaio aspira a	2.5.2.3.0	261	681_4-s-m-b-it	il notaio	singular	male	binary	to aspire to-indicative-present-affirmative
5065	il notaio è	2.5.2.3.0	261	681_4-s-m-b-it	il notaio	singular	male	binary	to be-indicative-present-affirmative
5066	il notaio è considerato	2.5.2.3.0	261	681_4-s-m-b-it	il notaio	singular	male	binary	to be considered-indicative-present-affirmative
5067	il notaio fa	2.5.2.3.0	261	681_4-s-m-b-it	il notaio	singular	male	binary	to do-indicative-present-affirmative
5068	la notaia aspira a	2.5.2.3.0	261	681_4-s-f-b-it	la notaia	singular	female	binary	to aspire to-indicative-present-affirmative
5069	la notaia è	2.5.2.3.0	261	681_4-s-f-b-it	la notaia	singular	female	binary	to be-indicative-present-affirmative
5070	la notaia è considerata	2.5.2.3.0	261	681_4-s-f-b-it	la notaia	singular	female	binary	to be considered-indicative-present-affirmative
5071	la notaia fa	2.5.2.3.0	261	681_4-s-f-b-it	la notaia	singular	female	binary	to do-indicative-present-affirmative
5072	i notai aspirano a	2.5.2.3.0	261	681_4-p-m-b-it	i notai	plural	male	binary	to aspire to-indicative-present-affirmative
5073	i notai sono	2.5.2.3.0	261	681_4-p-m-b-it	i notai	plural	male	binary	to be-indicative-present-affirmative
5074	i notai sono considerati	2.5.2.3.0	261	681_4-p-m-b-it	i notai	plural	male	binary	to be considered-indicative-present-affirmative
5075	i notai fanno	2.5.2.3.0	261	681_4-p-m-b-it	i notai	plural	male	binary	to do-indicative-present-affirmative
5076	le notaie aspirano a	2.5.2.3.0	261	681_4-p-f-b-it	le notaie	plural	female	binary	to aspire to-indicative-present-affirmative
5077	le notaie sono	2.5.2.3.0	261	681_4-p-f-b-it	le notaie	plural	female	binary	to be-indicative-present-affirmative
5078	le notaie sono considerate	2.5.2.3.0	261	681_4-p-f-b-it	le notaie	plural	female	binary	to be considered-indicative-present-affirmative
5079	le notaie fanno	2.5.2.3.0	261	681_4-p-f-b-it	le notaie	plural	female	binary	to do-indicative-present-affirmative
5080	l* magistrat* aspira a	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5081	l* magistrat* aspirano a	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5082	l* magistrat* è	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to be-indicative-present-affirmative
5083	l* magistrat* sono	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to be-indicative-present-affirmative
5084	l* magistrat* è considerat*	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5085	l* magistrat* sono considerat*	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5086	l* magistrat* fa	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to do-indicative-present-affirmative
5087	l* magistrat* fanno	2.5.2.4.0	261	681_5-sp-n-*-it	l* magistrat*	singular, plural	neutral	*	to do-indicative-present-affirmative
5088	il magistrato aspira a	2.5.2.4.0	261	681_5-s-m-b-it	il magistrato	singular	male	binary	to aspire to-indicative-present-affirmative
5089	il magistrato è	2.5.2.4.0	261	681_5-s-m-b-it	il magistrato	singular	male	binary	to be-indicative-present-affirmative
5090	il magistrato è considerato	2.5.2.4.0	261	681_5-s-m-b-it	il magistrato	singular	male	binary	to be considered-indicative-present-affirmative
5091	il magistrato fa	2.5.2.4.0	261	681_5-s-m-b-it	il magistrato	singular	male	binary	to do-indicative-present-affirmative
5092	la magistrata aspira a	2.5.2.4.0	261	681_5-s-f-b-it	la magistrata	singular	female	binary	to aspire to-indicative-present-affirmative
5093	la magistrata è	2.5.2.4.0	261	681_5-s-f-b-it	la magistrata	singular	female	binary	to be-indicative-present-affirmative
5094	la magistrata è considerata	2.5.2.4.0	261	681_5-s-f-b-it	la magistrata	singular	female	binary	to be considered-indicative-present-affirmative
5095	la magistrata fa	2.5.2.4.0	261	681_5-s-f-b-it	la magistrata	singular	female	binary	to do-indicative-present-affirmative
5096	i magistrati aspirano a	2.5.2.4.0	261	681_5-p-m-b-it	i magistrati	plural	male	binary	to aspire to-indicative-present-affirmative
5097	i magistrati sono	2.5.2.4.0	261	681_5-p-m-b-it	i magistrati	plural	male	binary	to be-indicative-present-affirmative
5098	i magistrati sono considerati	2.5.2.4.0	261	681_5-p-m-b-it	i magistrati	plural	male	binary	to be considered-indicative-present-affirmative
5099	i magistrati fanno	2.5.2.4.0	261	681_5-p-m-b-it	i magistrati	plural	male	binary	to do-indicative-present-affirmative
5100	le magistrate aspirano a	2.5.2.4.0	261	681_5-p-f-b-it	le magistrate	plural	female	binary	to aspire to-indicative-present-affirmative
5101	le magistrate sono	2.5.2.4.0	261	681_5-p-f-b-it	le magistrate	plural	female	binary	to be-indicative-present-affirmative
5102	le magistrate sono considerate	2.5.2.4.0	261	681_5-p-f-b-it	le magistrate	plural	female	binary	to be considered-indicative-present-affirmative
5103	le magistrate fanno	2.5.2.4.0	261	681_5-p-f-b-it	le magistrate	plural	female	binary	to do-indicative-present-affirmative
5104	l'archivista e conservat* di documenti digitali aspira a	2.5.4.5.1	262	682_1-s-n-*-it	l'archivista e conservat* di documenti digitali	singular	neutral	*	to aspire to-indicative-present-affirmative
5105	l'archivista e conservat* di documenti digitali è	2.5.4.5.1	262	682_1-s-n-*-it	l'archivista e conservat* di documenti digitali	singular	neutral	*	to be-indicative-present-affirmative
5106	l'archivista e conservat* di documenti digitali è considerat*	2.5.4.5.1	262	682_1-s-n-*-it	l'archivista e conservat* di documenti digitali	singular	neutral	*	to be considered-indicative-present-affirmative
5107	l'archivista e conservat* di documenti digitali fa	2.5.4.5.1	262	682_1-s-n-*-it	l'archivista e conservat* di documenti digitali	singular	neutral	*	to do-indicative-present-affirmative
5108	l'archivista e conservatore di documenti digitali aspira a	2.5.4.5.1	262	682_1-s-m-b-it	l'archivista e conservatore di documenti digitali	singular	male	binary	to aspire to-indicative-present-affirmative
5109	l'archivista e conservatore di documenti digitali è	2.5.4.5.1	262	682_1-s-m-b-it	l'archivista e conservatore di documenti digitali	singular	male	binary	to be-indicative-present-affirmative
5110	l'archivista e conservatore di documenti digitali è considerato	2.5.4.5.1	262	682_1-s-m-b-it	l'archivista e conservatore di documenti digitali	singular	male	binary	to be considered-indicative-present-affirmative
5111	l'archivista e conservatore di documenti digitali fa	2.5.4.5.1	262	682_1-s-m-b-it	l'archivista e conservatore di documenti digitali	singular	male	binary	to do-indicative-present-affirmative
5112	l'archivista e conservatrice di documenti digitali aspira a	2.5.4.5.1	262	682_1-s-f-b-it	l'archivista e conservatrice di documenti digitali	singular	female	binary	to aspire to-indicative-present-affirmative
5113	l'archivista e conservatrice di documenti digitali è	2.5.4.5.1	262	682_1-s-f-b-it	l'archivista e conservatrice di documenti digitali	singular	female	binary	to be-indicative-present-affirmative
5114	l'archivista e conservatrice di documenti digitali è considerata	2.5.4.5.1	262	682_1-s-f-b-it	l'archivista e conservatrice di documenti digitali	singular	female	binary	to be considered-indicative-present-affirmative
5115	l'archivista e conservatrice di documenti digitali fa	2.5.4.5.1	262	682_1-s-f-b-it	l'archivista e conservatrice di documenti digitali	singular	female	binary	to do-indicative-present-affirmative
5116	l* archivist* e conservat* di documenti digitali aspirano a	2.5.4.5.1	262	682_1-p-n-*-it	l* archivist* e conservat* di documenti digitali	plural	neutral	*	to aspire to-indicative-present-affirmative
5117	l* archivist* e conservat* di documenti digitali sono	2.5.4.5.1	262	682_1-p-n-*-it	l* archivist* e conservat* di documenti digitali	plural	neutral	*	to be-indicative-present-affirmative
5118	l* archivist* e conservat* di documenti digitali sono considerat*	2.5.4.5.1	262	682_1-p-n-*-it	l* archivist* e conservat* di documenti digitali	plural	neutral	*	to be considered-indicative-present-affirmative
5119	l* archivist* e conservat* di documenti digitali fanno	2.5.4.5.1	262	682_1-p-n-*-it	l* archivist* e conservat* di documenti digitali	plural	neutral	*	to do-indicative-present-affirmative
5120	gli archivisti e conservatori di documenti digitali aspirano a	2.5.4.5.1	262	682_1-p-m-b-it	gli archivisti e conservatori di documenti digitali	plural	male	binary	to aspire to-indicative-present-affirmative
5121	gli archivisti e conservatori di documenti digitali sono	2.5.4.5.1	262	682_1-p-m-b-it	gli archivisti e conservatori di documenti digitali	plural	male	binary	to be-indicative-present-affirmative
5122	gli archivisti e conservatori di documenti digitali sono considerati	2.5.4.5.1	262	682_1-p-m-b-it	gli archivisti e conservatori di documenti digitali	plural	male	binary	to be considered-indicative-present-affirmative
5123	gli archivisti e conservatori di documenti digitali fanno	2.5.4.5.1	262	682_1-p-m-b-it	gli archivisti e conservatori di documenti digitali	plural	male	binary	to do-indicative-present-affirmative
5124	le archiviste e conservatrici di documenti digitali aspirano a	2.5.4.5.1	262	682_1-p-f-b-it	le archiviste e conservatrici di documenti digitali	plural	female	binary	to aspire to-indicative-present-affirmative
5125	le archiviste e conservatrici di documenti digitali sono	2.5.4.5.1	262	682_1-p-f-b-it	le archiviste e conservatrici di documenti digitali	plural	female	binary	to be-indicative-present-affirmative
5126	le archiviste e conservatrici di documenti digitali sono considerate	2.5.4.5.1	262	682_1-p-f-b-it	le archiviste e conservatrici di documenti digitali	plural	female	binary	to be considered-indicative-present-affirmative
5127	le archiviste e conservatrici di documenti digitali fanno	2.5.4.5.1	262	682_1-p-f-b-it	le archiviste e conservatrici di documenti digitali	plural	female	binary	to do-indicative-present-affirmative
5128	l* bibliotecari* aspira a	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5129	l* bibliotecari* aspirano a	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5130	l* bibliotecari* è	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to be-indicative-present-affirmative
5131	l* bibliotecari* sono	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to be-indicative-present-affirmative
5132	l* bibliotecari* è considerat*	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5133	l* bibliotecari* sono considerat*	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5134	l* bibliotecari* fa	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to do-indicative-present-affirmative
5135	l* bibliotecari* fanno	2.5.4.5.2	262	682_2-sp-n-*-it	l* bibliotecari*	singular, plural	neutral	*	to do-indicative-present-affirmative
5136	il bibliotecario aspira a	2.5.4.5.2	262	682_2-s-m-b-it	il bibliotecario	singular	male	binary	to aspire to-indicative-present-affirmative
5137	il bibliotecario è	2.5.4.5.2	262	682_2-s-m-b-it	il bibliotecario	singular	male	binary	to be-indicative-present-affirmative
5138	il bibliotecario è considerato	2.5.4.5.2	262	682_2-s-m-b-it	il bibliotecario	singular	male	binary	to be considered-indicative-present-affirmative
5139	il bibliotecario fa	2.5.4.5.2	262	682_2-s-m-b-it	il bibliotecario	singular	male	binary	to do-indicative-present-affirmative
5140	la bibliotecaria aspira a	2.5.4.5.2	262	682_2-s-f-b-it	la bibliotecaria	singular	female	binary	to aspire to-indicative-present-affirmative
5141	la bibliotecaria è	2.5.4.5.2	262	682_2-s-f-b-it	la bibliotecaria	singular	female	binary	to be-indicative-present-affirmative
5142	la bibliotecaria è considerata	2.5.4.5.2	262	682_2-s-f-b-it	la bibliotecaria	singular	female	binary	to be considered-indicative-present-affirmative
5143	la bibliotecaria fa	2.5.4.5.2	262	682_2-s-f-b-it	la bibliotecaria	singular	female	binary	to do-indicative-present-affirmative
5144	i bibliotecari aspirano a	2.5.4.5.2	262	682_2-p-m-b-it	i bibliotecari	plural	male	binary	to aspire to-indicative-present-affirmative
5145	i bibliotecari sono	2.5.4.5.2	262	682_2-p-m-b-it	i bibliotecari	plural	male	binary	to be-indicative-present-affirmative
5146	i bibliotecari sono considerati	2.5.4.5.2	262	682_2-p-m-b-it	i bibliotecari	plural	male	binary	to be considered-indicative-present-affirmative
5147	i bibliotecari fanno	2.5.4.5.2	262	682_2-p-m-b-it	i bibliotecari	plural	male	binary	to do-indicative-present-affirmative
5148	le bibliotecarie aspirano a	2.5.4.5.2	262	682_2-p-f-b-it	le bibliotecarie	plural	female	binary	to aspire to-indicative-present-affirmative
5149	le bibliotecarie sono	2.5.4.5.2	262	682_2-p-f-b-it	le bibliotecarie	plural	female	binary	to be-indicative-present-affirmative
5150	le bibliotecarie sono considerate	2.5.4.5.2	262	682_2-p-f-b-it	le bibliotecarie	plural	female	binary	to be considered-indicative-present-affirmative
5151	le bibliotecarie fanno	2.5.4.5.2	262	682_2-p-f-b-it	le bibliotecarie	plural	female	binary	to do-indicative-present-affirmative
5152	l* curat* e conservat* di musei aspira a	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5153	l* curat* e conservat* di musei aspirano a	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
5154	l* curat* e conservat* di musei è	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to be-indicative-present-affirmative
5155	l* curat* e conservat* di musei sono	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to be-indicative-present-affirmative
5156	l* curat* e conservat* di musei è considerat*	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5157	l* curat* e conservat* di musei sono considerat*	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to be considered-indicative-present-affirmative
5158	l* curat* e conservat* di musei fa	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to do-indicative-present-affirmative
5159	l* curat* e conservat* di musei fanno	2.5.4.5.3	262	682_3-sp-n-*-it	l* curat* e conservat* di musei	singular, plural	neutral	*	to do-indicative-present-affirmative
