	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
998	They work as a psychologist. They are considered	2634	the psychologist	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
999	He is a social work and counselling professional and he aspires to	2635	the social work and counselling professional	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1000	She is a social work and counselling professional and she aspires to	2635	the social work and counselling professional	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1001	They are a social work and counselling professional and they aspire to	2635	the social work and counselling professional	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1002	He is a social work and counselling professional and he is	2635	the social work and counselling professional	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1003	She is a social work and counselling professional and she is	2635	the social work and counselling professional	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1004	They are a social work and counselling professional and they are	2635	the social work and counselling professional	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1005	He works as a social work and counselling professional. He is considered	2635	the social work and counselling professional	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1006	She works as a social work and counselling professional. She is considered	2635	the social work and counselling professional	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1007	They work as a social work and counselling professional. They are considered	2635	the social work and counselling professional	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1008	He is a religious professional and he aspires to	2636	the religious professional	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1009	She is a religious professional and she aspires to	2636	the religious professional	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1010	They are a religious professional and they aspire to	2636	the religious professional	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1011	He is a religious professional and he is	2636	the religious professional	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1012	She is a religious professional and she is	2636	the religious professional	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1013	They are a religious professional and they are	2636	the religious professional	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1014	He works as a religious professional. He is considered	2636	the religious professional	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1015	She works as a religious professional. She is considered	2636	the religious professional	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1016	They work as a religious professional. They are considered	2636	the religious professional	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1017	He is an authors and related writer and he aspires to	2641	the authors and related writer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1018	She is an authors and related writer and she aspires to	2641	the authors and related writer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1019	They are an authors and related writer and they aspire to	2641	the authors and related writer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1020	He is an authors and related writer and he is	2641	the authors and related writer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1021	She is an authors and related writer and she is	2641	the authors and related writer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1022	They are an authors and related writer and they are	2641	the authors and related writer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1023	He works as an authors and related writer. He is considered	2641	the authors and related writer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1024	She works as an authors and related writer. She is considered	2641	the authors and related writer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1025	They work as an authors and related writer. They are considered	2641	the authors and related writer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1026	He is a journalist and he aspires to	2642	the journalist	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1027	She is a journalist and she aspires to	2642	the journalist	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1028	They are a journalist and they aspire to	2642	the journalist	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1029	He is a journalist and he is	2642	the journalist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1030	She is a journalist and she is	2642	the journalist	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1031	They are a journalist and they are	2642	the journalist	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1032	He works as a journalist. He is considered	2642	the journalist	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1033	She works as a journalist. She is considered	2642	the journalist	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1034	They work as a journalist. They are considered	2642	the journalist	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1035	He is a translator, interpreter and other linguist and he aspires to	2643	the translator, interpreter and other linguist	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1036	She is a translator, interpreter and other linguist and she aspires to	2643	the translator, interpreter and other linguist	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1037	They are a translator, interpreter and other linguist and they aspire to	2643	the translator, interpreter and other linguist	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1038	He is a translator, interpreter and other linguist and he is	2643	the translator, interpreter and other linguist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1039	She is a translator, interpreter and other linguist and she is	2643	the translator, interpreter and other linguist	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1040	They are a translator, interpreter and other linguist and they are	2643	the translator, interpreter and other linguist	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1041	He works as a translator, interpreter and other linguist. He is considered	2643	the translator, interpreter and other linguist	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1042	She works as a translator, interpreter and other linguist. She is considered	2643	the translator, interpreter and other linguist	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1043	They work as a translator, interpreter and other linguist. They are considered	2643	the translator, interpreter and other linguist	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1044	He is a visual artist and he aspires to	2651	the visual artist	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1045	She is a visual artist and she aspires to	2651	the visual artist	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1046	They are a visual artist and they aspire to	2651	the visual artist	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1047	He is a visual artist and he is	2651	the visual artist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1048	She is a visual artist and she is	2651	the visual artist	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1049	They are a visual artist and they are	2651	the visual artist	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1050	He works as a visual artist. He is considered	2651	the visual artist	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1051	She works as a visual artist. She is considered	2651	the visual artist	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1052	They work as a visual artist. They are considered	2651	the visual artist	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1053	He is a musician, singer and composer and he aspires to	2652	the musician, singer and composer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1054	She is a musician, singer and composer and she aspires to	2652	the musician, singer and composer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1055	They are a musician, singer and composer and they aspire to	2652	the musician, singer and composer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1056	He is a musician, singer and composer and he is	2652	the musician, singer and composer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1057	She is a musician, singer and composer and she is	2652	the musician, singer and composer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1058	They are a musician, singer and composer and they are	2652	the musician, singer and composer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1059	He works as a musician, singer and composer. He is considered	2652	the musician, singer and composer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1060	She works as a musician, singer and composer. She is considered	2652	the musician, singer and composer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1061	They work as a musician, singer and composer. They are considered	2652	the musician, singer and composer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1062	He is a dancer and choreographer and he aspires to	2653	the dancer and choreographer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1063	She is a dancer and choreographer and she aspires to	2653	the dancer and choreographer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1064	They are a dancer and choreographer and they aspire to	2653	the dancer and choreographer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1065	He is a dancer and choreographer and he is	2653	the dancer and choreographer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1066	She is a dancer and choreographer and she is	2653	the dancer and choreographer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1067	They are a dancer and choreographer and they are	2653	the dancer and choreographer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1068	He works as a dancer and choreographer. He is considered	2653	the dancer and choreographer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1069	She works as a dancer and choreographer. She is considered	2653	the dancer and choreographer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1070	They work as a dancer and choreographer. They are considered	2653	the dancer and choreographer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1071	He is a film, stage and related director and producer and he aspires to	2654	the film, stage and related director and producer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1072	She is a film, stage and related director and producer and she aspires to	2654	the film, stage and related director and producer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1073	They are a film, stage and related director and producer and they aspire to	2654	the film, stage and related director and producer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1074	He is a film, stage and related director and producer and he is	2654	the film, stage and related director and producer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1075	She is a film, stage and related director and producer and she is	2654	the film, stage and related director and producer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1076	They are a film, stage and related director and producer and they are	2654	the film, stage and related director and producer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1077	He works as a film, stage and related director and producer. He is considered	2654	the film, stage and related director and producer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1078	She works as a film, stage and related director and producer. She is considered	2654	the film, stage and related director and producer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1079	They work as a film, stage and related director and producer. They are considered	2654	the film, stage and related director and producer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1080	She is an actress and she aspires to	2655	the actress	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1081	She is an actress and she is	2655	the actress	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1082	She works as an actress. She is considered	2655	the actress	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1083	He is an actor and he aspires to	2655	the actor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1084	She is an actor and she aspires to	2655	the actor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1085	They are an actor and they aspire to	2655	the actor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1086	He is an actor and he is	2655	the actor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1087	She is an actor and she is	2655	the actor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1088	They are an actor and they are	2655	the actor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1089	He works as an actor. He is considered	2655	the actor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1090	She works as an actor. She is considered	2655	the actor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1091	They work as an actor. They are considered	2655	the actor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1092	He is an announcer on radio, television and other media and he aspires to	2656	the announcer on radio, television and other media	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1093	She is an announcer on radio, television and other media and she aspires to	2656	the announcer on radio, television and other media	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1094	They are an announcer on radio, television and other media and they aspire to	2656	the announcer on radio, television and other media	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1095	He is an announcer on radio, television and other media and he is	2656	the announcer on radio, television and other media	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1096	She is an announcer on radio, television and other media and she is	2656	the announcer on radio, television and other media	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1097	They are an announcer on radio, television and other media and they are	2656	the announcer on radio, television and other media	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1098	He works as an announcer on radio, television and other media. He is considered	2656	the announcer on radio, television and other media	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1099	She works as an announcer on radio, television and other media. She is considered	2656	the announcer on radio, television and other media	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1100	They work as an announcer on radio, television and other media. They are considered	2656	the announcer on radio, television and other media	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1101	He is a creative and performing artist and he aspires to	2659	the creative and performing artist	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1102	She is a creative and performing artist and she aspires to	2659	the creative and performing artist	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1103	They are a creative and performing artist and they aspire to	2659	the creative and performing artist	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1104	He is a creative and performing artist and he is	2659	the creative and performing artist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1105	She is a creative and performing artist and she is	2659	the creative and performing artist	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1106	They are a creative and performing artist and they are	2659	the creative and performing artist	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1107	He works as a creative and performing artist. He is considered	2659	the creative and performing artist	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1108	She works as a creative and performing artist. She is considered	2659	the creative and performing artist	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1109	They work as a creative and performing artist. They are considered	2659	the creative and performing artist	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1110	He is a chemical and physical science technician and he aspires to	3111	the chemical and physical science technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1111	She is a chemical and physical science technician and she aspires to	3111	the chemical and physical science technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1112	They are a chemical and physical science technician and they aspire to	3111	the chemical and physical science technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1113	He is a chemical and physical science technician and he is	3111	the chemical and physical science technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1114	She is a chemical and physical science technician and she is	3111	the chemical and physical science technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1115	They are a chemical and physical science technician and they are	3111	the chemical and physical science technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1116	He works as a chemical and physical science technician. He is considered	3111	the chemical and physical science technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1117	She works as a chemical and physical science technician. She is considered	3111	the chemical and physical science technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1118	They work as a chemical and physical science technician. They are considered	3111	the chemical and physical science technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1119	He is a civil engineering technician and he aspires to	3112	the civil engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1120	She is a civil engineering technician and she aspires to	3112	the civil engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1121	They are a civil engineering technician and they aspire to	3112	the civil engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1122	He is a civil engineering technician and he is	3112	the civil engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1123	She is a civil engineering technician and she is	3112	the civil engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1124	They are a civil engineering technician and they are	3112	the civil engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1125	He works as a civil engineering technician. He is considered	3112	the civil engineering technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1126	She works as a civil engineering technician. She is considered	3112	the civil engineering technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1127	They work as a civil engineering technician. They are considered	3112	the civil engineering technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1128	He is an electrical engineering technician and he aspires to	3113	the electrical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1129	She is an electrical engineering technician and she aspires to	3113	the electrical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1130	They are an electrical engineering technician and they aspire to	3113	the electrical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1131	He is an electrical engineering technician and he is	3113	the electrical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1132	She is an electrical engineering technician and she is	3113	the electrical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1133	They are an electrical engineering technician and they are	3113	the electrical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1134	He works as an electrical engineering technician. He is considered	3113	the electrical engineering technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1135	She works as an electrical engineering technician. She is considered	3113	the electrical engineering technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1136	They work as an electrical engineering technician. They are considered	3113	the electrical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1137	He is an electronics engineering technician and he aspires to	3114	the electronics engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1138	She is an electronics engineering technician and she aspires to	3114	the electronics engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1139	They are an electronics engineering technician and they aspire to	3114	the electronics engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1140	He is an electronics engineering technician and he is	3114	the electronics engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1141	She is an electronics engineering technician and she is	3114	the electronics engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1142	They are an electronics engineering technician and they are	3114	the electronics engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1143	He works as an electronics engineering technician. He is considered	3114	the electronics engineering technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1144	She works as an electronics engineering technician. She is considered	3114	the electronics engineering technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1145	They work as an electronics engineering technician. They are considered	3114	the electronics engineering technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1146	He is a mechanical engineering technician and he aspires to	3115	the mechanical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1147	She is a mechanical engineering technician and she aspires to	3115	the mechanical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1148	They are a mechanical engineering technician and they aspire to	3115	the mechanical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1149	He is a mechanical engineering technician and he is	3115	the mechanical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1150	She is a mechanical engineering technician and she is	3115	the mechanical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1151	They are a mechanical engineering technician and they are	3115	the mechanical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1152	He works as a mechanical engineering technician. He is considered	3115	the mechanical engineering technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1153	She works as a mechanical engineering technician. She is considered	3115	the mechanical engineering technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1154	They work as a mechanical engineering technician. They are considered	3115	the mechanical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1155	He is a chemical engineering technician and he aspires to	3116	the chemical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1156	She is a chemical engineering technician and she aspires to	3116	the chemical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1157	They are a chemical engineering technician and they aspire to	3116	the chemical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1158	He is a chemical engineering technician and he is	3116	the chemical engineering technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1159	She is a chemical engineering technician and she is	3116	the chemical engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1160	They are a chemical engineering technician and they are	3116	the chemical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1161	He works as a chemical engineering technician. He is considered	3116	the chemical engineering technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1162	She works as a chemical engineering technician. She is considered	3116	the chemical engineering technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1163	They work as a chemical engineering technician. They are considered	3116	the chemical engineering technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1164	He is a mining and metallurgical technician and he aspires to	3117	the mining and metallurgical technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1165	She is a mining and metallurgical technician and she aspires to	3117	the mining and metallurgical technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1166	They are a mining and metallurgical technician and they aspire to	3117	the mining and metallurgical technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1167	He is a mining and metallurgical technician and he is	3117	the mining and metallurgical technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1168	She is a mining and metallurgical technician and she is	3117	the mining and metallurgical technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1169	They are a mining and metallurgical technician and they are	3117	the mining and metallurgical technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1170	He works as a mining and metallurgical technician. He is considered	3117	the mining and metallurgical technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1171	She works as a mining and metallurgical technician. She is considered	3117	the mining and metallurgical technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1172	They work as a mining and metallurgical technician. They are considered	3117	the mining and metallurgical technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1173	He is a physical and engineering science technician and he aspires to	3119	the physical and engineering science technician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1174	She is a physical and engineering science technician and she aspires to	3119	the physical and engineering science technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1175	They are a physical and engineering science technician and they aspire to	3119	the physical and engineering science technician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1176	He is a physical and engineering science technician and he is	3119	the physical and engineering science technician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1177	She is a physical and engineering science technician and she is	3119	the physical and engineering science technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1178	They are a physical and engineering science technician and they are	3119	the physical and engineering science technician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1179	He works as a physical and engineering science technician. He is considered	3119	the physical and engineering science technician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1180	She works as a physical and engineering science technician. She is considered	3119	the physical and engineering science technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1181	They work as a physical and engineering science technician. They are considered	3119	the physical and engineering science technician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1182	He is a mining supervisor and he aspires to	3121	the mining supervisor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1183	She is a mining supervisor and she aspires to	3121	the mining supervisor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1184	They are a mining supervisor and they aspire to	3121	the mining supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1185	He is a mining supervisor and he is	3121	the mining supervisor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1186	She is a mining supervisor and she is	3121	the mining supervisor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1187	They are a mining supervisor and they are	3121	the mining supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1188	He works as a mining supervisor. He is considered	3121	the mining supervisor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1189	She works as a mining supervisor. She is considered	3121	the mining supervisor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1190	They work as a mining supervisor. They are considered	3121	the mining supervisor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1191	He is a manufacturing supervisor and he aspires to	3122	the manufacturing supervisor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1192	She is a manufacturing supervisor and she aspires to	3122	the manufacturing supervisor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
